Date,BTC_Price,MVRV
2011-02-24 0:00,0.993715,3.88012816
2011-02-25 0:00,0.9111,3.382998608
2011-02-26 0:00,0.958,3.53133917
2011-02-27 0:00,0.89,3.118960909
2011-02-28 0:00,0.8701,2.9935644
2011-03-01 0:00,0.92022,3.038426544
2011-03-02 0:00,0.9399,3.098654751
2011-03-03 0:00,0.93909,3.057371216
2011-03-04 0:00,0.9012,2.837174299
2011-03-05 0:00,0.9103,2.830691682
2011-03-06 0:00,0.88663,2.690639296
2011-03-07 0:00,0.88502,2.656329357
2011-03-08 0:00,0.86999,2.561642035
2011-03-09 0:00,0.86449,2.519168004
2011-03-10 0:00,0.9329,2.80963574
2011-03-11 0:00,0.88,2.556221952
2011-03-12 0:00,0.918,2.696528649
2011-03-13 0:00,0.89249,2.564475007
2011-03-14 0:00,0.8949,2.552345402
2011-03-15 0:00,0.87112,2.432071862
2011-03-16 0:00,0.85999,2.359658219
2011-03-17 0:00,0.82542,2.194368738
2011-03-18 0:00,0.81648,2.148271778
2011-03-19 0:00,0.765,1.920428575
2011-03-20 0:00,0.74108,1.810493242
2011-03-21 0:00,0.75897,1.877851364
2011-03-22 0:00,0.80901,2.085339843
2011-03-23 0:00,0.84971,2.241783438
2011-03-24 0:00,0.86688,2.289717297
2011-03-25 0:00,0.88377,2.343747688
2011-03-26 0:00,0.8552,2.202809671
2011-03-27 0:00,0.82754,2.074829541
2011-03-28 0:00,0.79898,1.946027737
2011-03-29 0:00,0.7925,1.910991618
2011-03-30 0:00,0.7897,1.892366221
2011-03-31 0:00,0.78461,1.861023895
2011-04-01 0:00,0.77411,1.809503649
2011-04-02 0:00,0.78199,1.83423082
2011-04-03 0:00,0.779,1.813970562
2011-04-04 0:00,0.68,1.402559559
2011-04-05 0:00,0.71,1.519373068
2011-04-06 0:00,0.74,1.636497849
2011-04-07 0:00,0.7538,1.686226492
2011-04-08 0:00,0.74999,1.663893513
2011-04-09 0:00,0.746584,1.644338284
2011-04-10 0:00,0.7369,1.600137983
2011-04-11 0:00,0.77,1.726255249
2011-04-12 0:00,0.86,2.072891091
2011-04-13 0:00,0.93115,2.369290326
2011-04-14 0:00,0.99936,2.583847647
2011-04-15 0:00,0.986904,2.509617461
2011-04-16 0:00,1.0499,2.724722519
2011-04-17 0:00,1.13057,3.011397981
2011-04-18 0:00,1.16199,3.044386261
2011-04-19 0:00,1.1965,3.170703438
2011-04-20 0:00,1.1421,2.932608499
2011-04-21 0:00,1.208,3.137688412
2011-04-22 0:00,1.40901,3.837163324
2011-04-23 0:00,1.665325,4.681891272
2011-04-24 0:00,1.63011,4.439855158
2011-04-25 0:00,1.57623,4.202481705
2011-04-26 0:00,1.7949,4.770729729
2011-04-27 0:00,1.9,5.033557444
2011-04-28 0:00,2.21059,5.895447559
2011-04-29 0:00,2.88,7.279451054
2011-04-30 0:00,3.5,8.55572252
2011-05-01 0:00,3.03311,6.707648036
2011-05-02 0:00,3.2,6.786226817
2011-05-03 0:00,3.3975,6.911261781
2011-05-04 0:00,3.40609,6.488068513
2011-05-05 0:00,3.333,5.984005183
2011-05-06 0:00,3.452,5.912982115
2011-05-07 0:00,3.641,6.045713761
2011-05-08 0:00,3.86585,6.208886977
2011-05-09 0:00,3.8,5.776291021
2011-05-10 0:00,5.805,9.044391503
2011-05-11 0:00,5.5,7.935694856
2011-05-12 0:00,6.363463333,8.740343266
2011-05-13 0:00,8.194,10.3459063
2011-05-14 0:00,7.026584286,7.537710078
2011-05-15 0:00,6.988455,7.001675823
2011-05-16 0:00,8,7.456354199
2011-05-17 0:00,7.20995,6.17748817
2011-05-18 0:00,6.88499125,5.333500644
2011-05-19 0:00,6.88955,5.307661435
2011-05-20 0:00,5.590361667,3.874981469
2011-05-21 0:00,6.132744286,4.370520557
2011-05-22 0:00,6.73627,4.756320113
2011-05-23 0:00,7.106384,4.873224516
2011-05-24 0:00,7.42,4.94008447
2011-05-25 0:00,8.409413571,5.53204503
2011-05-26 0:00,8.77355,5.546309109
2011-05-27 0:00,8.5002,5.111562269
2011-05-28 0:00,8.3001,4.876737555
2011-05-29 0:00,8.4299,4.778461441
2011-05-30 0:00,8.800025,4.940645781
2011-05-31 0:00,8.715455,4.797570335
2011-06-01 0:00,9.6074975,5.274654375
2011-06-02 0:00,10.64302,5.900754793
2011-06-03 0:00,14.31778571,7.721185812
2011-06-04 0:00,18.64759333,9.613469833
2011-06-05 0:00,16.675,7.776725832
